id;nome;estado_id;codigo_ibge;;;44;Nossa Senhora do Livramento Monsenhor Tabosa
2009;São João de Petrópolis Santa Teresa;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São João de Petrópolis Santa Teresa','0','8');;
2010;São João de Viçosa Venda Nova do Imigrante;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São João de Viçosa Venda Nova do Imigrante','0','8');;
2011;São João do Sobrado Pinheiros;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São João do Sobrado Pinheiros','0','8');;
2013;São Jorge do Oliveira Brejetuba;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São Jorge do Oliveira Brejetuba','0','8');;
2014;São Jorge do Tiradentes Rio Bananal;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São Jorge do Tiradentes Rio Bananal','0','8');;
2015;São José das Torres Mimoso do Sul;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São José das Torres Mimoso do Sul','0','8');;
2016;São José de Mantenópolis Mantenópolis;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São José de Mantenópolis Mantenópolis','0','8');;
2017;São José do Calçado;8;4807;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São José do Calçado','4807','8');;
2018;São José do Sobradinho Boa Esperança;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São José do Sobradinho Boa Esperança','0','8');;
2019;São Mateus;8;4906;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São Mateus','4906','8');;
2020;São Pedro Muniz Freire;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São Pedro Muniz Freire','0','8');;
2021;São Pedro de Itabapoana Mimoso do Sul;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São Pedro de Itabapoana Mimoso do Sul','0','8');;
2022;São Pedro de Rates Guaçuí;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São Pedro de Rates Guaçuí','0','8');;
2023;São Rafael Linhares;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São Rafael Linhares','0','8');;
2024;São Roque do Canaã;8;4955;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São Roque do Canaã','4955','8');;
2025;São Tiago Guaçuí;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São Tiago Guaçuí','0','8');;
2026;São Torquato Vila Velha;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('São Torquato Vila Velha','0','8');;
2027;Sapucaia Marilândia;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Sapucaia Marilândia','0','8');;
2028;Serra;8;5002;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Serra','5002','8');;
2029;Serra Pelada Afonso Cláudio;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Serra Pelada Afonso Cláudio','0','8');;
2030;Sobreiro Laranja da Terra;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Sobreiro Laranja da Terra','0','8');;
2031;Sooretama;8;5010;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Sooretama','5010','8');;
2032;Timbuí Fundão;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Timbuí Fundão','0','8');;
2033;Todos os Santos Guarapari;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Todos os Santos Guarapari','0','8');;
2034;Urânia Alfredo Chaves;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Urânia Alfredo Chaves','0','8');;
2035;Vargem Alta;8;5036;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Vargem Alta','5036','8');;
2036;Vargem Grande do Soturno Cachoeiro de Itapemirim;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Vargem Grande do Soturno Cachoeiro de Itapemirim','0','8');;
2037;Venda Nova do Imigrante;8;5069;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Venda Nova do Imigrante','5069','8');;
2038;Viana;8;5101;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Viana','5101','8');;
2039;Vieira Machado Muniz Freire;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Vieira Machado Muniz Freire','0','8');;
2040;Vila Nelita Água Doce do Norte;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Vila Nelita Água Doce do Norte','0','8');;
2041;Vila Nova de Bananal Baixo Guandu;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Vila Nova de Bananal Baixo Guandu','0','8');;
2042;Vila Pavão;8;5150;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Vila Pavão','5150','8');;
2043;Vila Valério;8;5176;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Vila Valério','5176','8');;
2044;Vila Velha;8;5200;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Vila Velha','5200','8');;
2045;Vila Verde Pancas;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Vila Verde Pancas','0','8');;
2046;Vinhático Montanha;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Vinhático Montanha','0','8');;
2047;Vinte e Cinco de Julho Santa Teresa;8;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Vinte e Cinco de Julho Santa Teresa','0','8');;
2048;Vitória;8;5309;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Vitória','5309','8');;
2049;Abadia de Goiás;9;50;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Abadia de Goiás','50','9');;
2050;Abadiânia;9;100;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Abadiânia','100','9');;
2051;Acreúna;9;134;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Acreúna','134','9');;
2052;Adelândia;9;159;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Adelândia','159','9');;
2053;Água Fria de Goiás;9;175;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Água Fria de Goiás','175','9');;
2054;Água Limpa;9;209;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Água Limpa','209','9');;
2055;Águas Lindas de Goiás;9;258;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Águas Lindas de Goiás','258','9');;
2056;Alexânia;9;308;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Alexânia','308','9');;
2057;Aloândia;9;506;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Aloândia','506','9');;
2058;Alto Alvorada Orizona;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Alto Alvorada Orizona','0','9');;
2059;Alto Horizonte;9;555;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Alto Horizonte','555','9');;
2060;Alto Paraíso de Goiás;9;605;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Alto Paraíso de Goiás','605','9');;
2061;Alvorada do Norte;9;803;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Alvorada do Norte','803','9');;
2062;Amaralina;9;829;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Amaralina','829','9');;
2063;Americano do Brasil;9;852;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Americano do Brasil','852','9');;
2064;Amorinópolis;9;902;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Amorinópolis','902','9');;
2065;Anápolis;9;1108;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Anápolis','1108','9');;
2066;Anhanguera;9;1207;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Anhanguera','1207','9');;
2067;Anicuns;9;1306;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Anicuns','1306','9');;
2068;Aparecida Sanclerlândia;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Aparecida Sanclerlândia','0','9');;
2069;Aparecida de Goiânia;9;1405;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Aparecida de Goiânia','1405','9');;
2070;Aparecida de Goiás Itapaci;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Aparecida de Goiás Itapaci','0','9');;
2071;Aparecida do Rio Claro Montes Claros de Goiás;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Aparecida do Rio Claro Montes Claros de Goiás','0','9');;
2072;Aparecida do Rio Doce;9;1454;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Aparecida do Rio Doce','1454','9');;
2073;Aporé;9;1504;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Aporé','1504','9');;
2074;Araçu;9;1603;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Araçu','1603','9');;
2075;Aragarças;9;1702;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Aragarças','1702','9');;
2076;Aragoiânia;9;1801;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Aragoiânia','1801','9');;
2077;Araguapaz;9;2155;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Araguapaz','2155','9');;
2078;Arenópolis;9;2353;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Arenópolis','2353','9');;
2079;Aruanã;9;2502;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Aruanã','2502','9');;
2080;Aurilândia;9;2601;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Aurilândia','2601','9');;
2081;Auriverde Crixás;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Auriverde Crixás','0','9');;
2082;Avelinópolis;9;2809;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Avelinópolis','2809','9');;
2083;Bacilândia Fazenda Nova;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Bacilândia Fazenda Nova','0','9');;
2084;Baliza;9;3104;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Baliza','3104','9');;
2085;Bandeirantes Nova Crixás;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Bandeirantes Nova Crixás','0','9');;
2086;Barbosilândia Posse;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Barbosilândia Posse','0','9');;
2087;Barro Alto;9;3203;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Barro Alto','3203','9');;
2088;Bela Vista de Goiás;9;3302;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Bela Vista de Goiás','3302','9');;
2089;Bom Jardim de Goiás;9;3401;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Bom Jardim de Goiás','3401','9');;
2090;Bom Jesus de Goiás;9;3500;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Bom Jesus de Goiás','3500','9');;
2091;Bonfinópolis;9;3559;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Bonfinópolis','3559','9');;
2092;Bonópolis;9;3575;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Bonópolis','3575','9');;
2093;Brazabrantes;9;3609;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Brazabrantes','3609','9');;
2094;Britânia;9;3807;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Britânia','3807','9');;
2095;Buenolândia Goiás;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Buenolândia Goiás','0','9');;
2096;Buriti Alegre;9;3906;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Buriti Alegre','3906','9');;
2097;Buriti de Goiás;9;3939;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Buriti de Goiás','3939','9');;
2098;Buritinópolis;9;3962;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Buritinópolis','3962','9');;
2099;Cabeceiras;9;4003;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Cabeceiras','4003','9');;
2100;Cachoeira Alta;9;4102;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Cachoeira Alta','4102','9');;
2101;Cachoeira de Goiás;9;4201;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Cachoeira de Goiás','4201','9');;
2102;Cachoeira Dourada;9;4250;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Cachoeira Dourada','4250','9');;
2103;Caçu;9;4300;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Caçu','4300','9');;
2104;Caiapônia;9;4409;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Caiapônia','4409','9');;
2105;Caiçara Faina;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Caiçara Faina','0','9');;
2106;Calcilândia Goiás;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Calcilândia Goiás','0','9');;
2107;Caldas Novas;9;4508;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Caldas Novas','4508','9');;
2108;Caldazinha;9;4557;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Caldazinha','4557','9');;
2109;Calixto Anápolis;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Calixto Anápolis','0','9');;
2110;Campestre de Goiás;9;4607;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Campestre de Goiás','4607','9');;
2111;Campinaçu;9;4656;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Campinaçu','4656','9');;
2112;Campinorte;9;4706;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Campinorte','4706','9');;
2113;Campo Alegre de Goiás;9;4805;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Campo Alegre de Goiás','4805','9');;
2114;Campo Limpo Itumbiara;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Campo Limpo Itumbiara','0','9');;
2115;Campolândia Ivolândia;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Campolândia Ivolândia','0','9');;
2116;Campos Belos;9;4904;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Campos Belos','4904','9');;
2117;Campos Verdes;9;4953;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Campos Verdes','4953','9');;
2118;Cana Brava Minaçu;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Cana Brava Minaçu','0','9');;
2119;Canadá Jussara;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Canadá Jussara','0','9');;
2120;Capelinha Anicuns;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Capelinha Anicuns','0','9');;
2121;Caraíba Vianópolis;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Caraíba Vianópolis','0','9');;
2122;Carmo do Rio Verde;9;5000;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Carmo do Rio Verde','5000','9');;
2123;Castelândia;9;5059;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Castelândia','5059','9');;
2124;Castrinópolis Rianápolis;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Castrinópolis Rianápolis','0','9');;
2125;Catalão;9;5109;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Catalão','5109','9');;
2126;Caturaí;9;5208;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Caturaí','5208','9');;
2127;Cavalcante;9;5307;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Cavalcante','5307','9');;
2128;Cavalheiro Ipameri;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Cavalheiro Ipameri','0','9');;
2129;Cebrasa Anápolis;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Cebrasa Anápolis','0','9');;
2130;Ceres;9;5406;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Ceres','5406','9');;
2131;Cezarina;9;5455;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Cezarina','5455','9');;
2132;Chapadão do Céu;9;5471;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Chapadão do Céu','5471','9');;
2133;Choupana Anicuns;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Choupana Anicuns','0','9');;
2134;Cibele Itapuranga;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Cibele Itapuranga','0','9');;
2135;Cidade Ocidental;9;5497;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Cidade Ocidental','5497','9');;
2136;Cirilândia Santa Isabel;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Cirilândia Santa Isabel','0','9');;
2137;Cocalzinho de Goiás;9;5513;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Cocalzinho de Goiás','5513','9');;
2138;Colinas do Sul;9;5521;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Colinas do Sul','5521','9');;
2139;Córrego do Ouro;9;5703;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Córrego do Ouro','5703','9');;
2140;Córrego Rico Planaltina de Goiás;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Córrego Rico Planaltina de Goiás','0','9');;
2141;Corumbá de Goiás;9;5802;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Corumbá de Goiás','5802','9');;
2142;Corumbaíba;9;5901;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Corumbaíba','5901','9');;
2143;Cristalina;9;6206;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Cristalina','6206','9');;
2144;Cristianópolis;9;6305;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Cristianópolis','6305','9');;
2145;Crixás;9;6404;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Crixás','6404','9');;
2146;Cromínia;9;6503;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Cromínia','6503','9');;
2147;Cruzeiro do Norte Porangatu;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Cruzeiro do Norte Porangatu','0','9');;
2148;Cumari;9;6602;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Cumari','6602','9');;
2149;Damianópolis;9;6701;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Damianópolis','6701','9');;
2150;Damolândia;9;6800;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Damolândia','6800','9');;
2151;Davidópolis Goiás;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Davidópolis Goiás','0','9');;
2152;Davinópolis;9;6909;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Davinópolis','6909','9');;
2153;Diolândia Itapuranga;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Diolândia Itapuranga','0','9');;
2154;Diorama;9;7105;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Diorama','7105','9');;
2155;Divinópolis de Goiás;9;8301;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Divinópolis de Goiás','8301','9');;
2156;Domiciano Ribeiro Ipameri;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Domiciano Ribeiro Ipameri','0','9');;
2157;Doverlândia;9;7253;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Doverlândia','7253','9');;
2158;Edealina;9;7352;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Edealina','7352','9');;
2159;Edéia;9;7402;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Edéia','7402','9');;
2160;Estrela do Norte;9;7501;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Estrela do Norte','7501','9');;
2161;Faina;9;7535;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Faina','7535','9');;
2162;Fazenda Nova;9;7600;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Fazenda Nova','7600','9');;
2163;Firminópolis;9;7808;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Firminópolis','7808','9');;
2164;Flores de Goiás;9;7907;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Flores de Goiás','7907','9');;
2165;Formosa;9;8004;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Formosa','8004','9');;
2166;Formoso;9;8103;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Formoso','8103','9');;
2167;Forte São João D Aliança;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Forte São João D Aliança','0','9');;
2168;Gameleira de Goiás;9;8152;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Gameleira de Goiás','8152','9');;
2169;Geriaçu Uruaçu;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Geriaçu Uruaçu','0','9');;
2170;Goialândia Anápolis;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Goialândia Anápolis','0','9');;
2171;Goianápolis;9;8400;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Goianápolis','8400','9');;
2172;Goiandira;9;8509;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Goiandira','8509','9');;
2173;Goianésia;9;8608;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Goianésia','8608','9');;
2174;Goiânia;9;8707;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Goiânia','8707','9');;
2175;Goianira;9;8806;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Goianira','8806','9');;
2176;Goiás;9;8905;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Goiás','8905','9');;
2177;Goiatuba;9;9101;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Goiatuba','9101','9');;
2178;Gouvelândia;9;9150;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Gouvelândia','9150','9');;
2179;Guapó;9;9200;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Guapó','9200','9');;
2180;Guaraíta;9;9291;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Guaraíta','9291','9');;
2181;Guarani de Goiás;9;9408;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Guarani de Goiás','9408','9');;
2182;Guarinos;9;9457;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Guarinos','9457','9');;
2183;Heitoraí;9;9606;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Heitoraí','9606','9');;
2184;Hidrolândia;9;9705;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Hidrolândia','9705','9');;
2185;Hidrolina;9;9804;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Hidrolina','9804','9');;
2186;Iaciara;9;9903;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Iaciara','9903','9');;
2187;Inaciolândia;9;9937;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Inaciolândia','9937','9');;
2188;Indiara;9;9952;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Indiara','9952','9');;
2189;Inhumas;9;10000;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Inhumas','10000','9');;
2190;Interlândia Anápolis;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Interlândia Anápolis','0','9');;
2191;Ipameri;9;10109;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Ipameri','10109','9');;
2192;Iporá;9;10208;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Iporá','10208','9');;
2193;Israelândia;9;10307;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Israelândia','10307','9');;
2194;Itaberaí;9;10406;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Itaberaí','10406','9');;
2195;Itaguaçu São Simão;9;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Itaguaçu São Simão','0','9');;
2196;Itaguari;9;10562;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Itaguari','10562','9');;
2197;Itaguaru;9;10604;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Itaguaru','10604','9');;
2198;Itajá;9;10802;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Itajá','10802','9');;
2199;Itapaci;9;10901;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Itapaci','10901','9');;
2200;Itapirapuã;9;11008;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Itapirapuã','11008','9');;
2201;Itapuranga;9;11206;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Itapuranga','11206','9');;
2202;Itarumã;9;11305;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Itarumã','11305','9');;
2203;Itauçu;9;11404;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Itauçu','11404','9');;
2204;Itumbiara;9;11503;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Itumbiara','11503','9');;
