id;nome;estado_id;codigo_ibge;;;44;Nossa Senhora do Livramento Monsenhor Tabosa
46;Boa Vista Palmeira dos Índios;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Boa Vista Palmeira dos Índios','0','2');;
47;Boca da Mata;2;1001;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Boca da Mata','1001','2');;
48;Bom Jardim Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Bom Jardim Arapiraca','0','2');;
49;Bonifácio Palmeira dos Índios;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Bonifácio Palmeira dos Índios','0','2');;
50;Branquinha;2;1100;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Branquinha','1100','2');;
51;Cacimbinhas;2;1209;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Cacimbinhas','1209','2');;
52;Cajarana Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Cajarana Arapiraca','0','2');;
53;Cajueiro;2;1308;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Cajueiro','1308','2');;
54;Caldeirões de Cima Palmeira dos Índios;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Caldeirões de Cima Palmeira dos Índios','0','2');;
55;Camadanta Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Camadanta Arapiraca','0','2');;
56;Campestre;2;1357;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Campestre','1357','2');;
57;Campo Alegre;2;1407;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Campo Alegre','1407','2');;
58;Campo Grande;2;1506;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Campo Grande','1506','2');;
59;Canaã Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Canaã Arapiraca','0','2');;
60;Canafístula Palmeira dos Índios;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Canafístula Palmeira dos Índios','0','2');;
61;Canapi;2;1605;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Canapi','1605','2');;
62;Canastra Ibateguara;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Canastra Ibateguara','0','2');;
63;Cangandu Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Cangandu Arapiraca','0','2');;
64;Capela;2;1704;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Capela','1704','2');;
65;Carneiros;2;1803;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Carneiros','1803','2');;
66;Carrasco Arapiraca;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Carrasco Arapiraca','0','2');;
67;Chã Preta;2;1902;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Chã Preta','1902','2');;
68;Coité do Nóia;2;2009;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Coité do Nóia','2009','2');;
69;Colônia Leopoldina;2;2108;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Colônia Leopoldina','2108','2');;
70;Coqueiro Seco;2;2207;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Coqueiro Seco','2207','2');;
71;Coruripe;2;2306;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Coruripe','2306','2');;
72;Coruripe da Cal Palmeira dos Índios;2;0;;INSERT INTO Cidades(nome,codIbge,fk_idEstado_estado) VALUES ('Coruripe da Cal Palmeira dos Índios','0','2');;
